case,metric,reference,candidate,candidate_minus_reference,reduction_percent,difference_ci95_low,difference_ci95_high,reduction_percent_ci95_low,reduction_percent_ci95_high
all_0_warm,truncated_error_body_ang_vel,0.7499804595315003,0.7417431179287258,-0.00823734160277445,1.0983408298291097,-0.014201784148443869,-0.0023954750944244177,0.3235792594291873,1.8929308806978744
all_4_cold,failure_rate,0.0859375,0.07421875,-0.01171875,13.636363636363637,-0.029296875,0.00390625,-6.25,31.161535385845585
all_4_cold,coverage,0.9468296085644543,0.9520793446202804,0.005249736055826126,-0.5544541497583255,-0.003917069248416433,0.014844674872502723,-1.584141690876717,0.41071898053110817
all_4_cold,truncated_error_body_pos,0.062414905616176096,0.06346382784214377,0.0010489222259676759,-1.6805636660224739,2.5140084471646058e-05,0.0019919563478792133,-3.249520380858683,-0.04042810264298537
all_4_cold,common_error_body_pos,0.0621469932753594,0.06360651281815802,0.001459519542798618,-2.3484958255853408,0.0005880011481838518,0.0023120036980065354,-3.777005698669091,-0.9217545539660815
all_4_cold,truncated_error_joint_pos,0.8619439893121795,0.8734462347899619,0.011502245477782336,-1.3344539344094717,0.001730880951912625,0.02092105720620397,-2.4571968791385146,-0.19608234854393336
all_4_cold,common_error_joint_pos,0.8593970166095447,0.8751971329976741,0.015800116388129393,-1.838511896453087,0.007584299985830159,0.023644102139988656,-2.7762250147951084,-0.8580782088037224
all_4_cold,truncated_error_anchor_pos,0.5703398436033644,0.5063020538406402,-0.06403778976272423,11.228005632245202,-0.08915311864855785,-0.038447224561338304,7.019048328030169,15.272955083803755
all_4_cold,truncated_error_anchor_rot,0.0946488542137247,0.09298370328627621,-0.0016651509274484833,1.7592932754245911,-0.0037916517312531497,0.00022829511577700972,-0.25026533567653303,3.914539007747517
all_4_cold,truncated_error_body_rot,0.2793588065331879,0.2838554478024067,0.004496641269218782,-1.6096293240301267,0.0015517629126895582,0.00728797474752306,-2.6545070434343243,-0.5402088434061133
all_4_cold,truncated_error_joint_vel,6.106237850686615,5.915798885015578,-0.1904389656710368,3.118761016648294,-0.2700343925765724,-0.11375909245253754,1.8803793980261396,4.356994870760482
all_4_cold,truncated_error_anchor_lin_vel,0.31107444800022965,0.28556382872522046,-0.025510619275009194,8.20080833993487,-0.031426463575961974,-0.019750028218048405,6.430888563490818,9.934333882314021
all_4_cold,truncated_error_anchor_ang_vel,0.6785795613118821,0.6371761920441886,-0.0414033692676935,6.101476028492419,-0.054171674357247325,-0.030394188156427387,4.562637345298211,7.738691651159621
all_4_cold,truncated_error_body_lin_vel,0.3991723955476485,0.37665840237012943,-0.022513993177519065,5.640167864471382,-0.02849266669518626,-0.016824403017259442,4.215217292800623,7.028777904035973
all_4_cold,truncated_error_body_ang_vel,1.6575416685132536,1.6013317177006483,-0.05620995081260527,3.3911636660708067,-0.0772830442121763,-0.03690805393425894,2.2266509909978462,4.6228744437213445
all_4_warm,failure_rate,0.080078125,0.068359375,-0.01171875,14.634146341463415,-0.029296875,0.005859375,-6.985252410663641,33.333333333333336
all_4_warm,coverage,0.9520156092614498,0.9568184043253407,0.004802795063890919,-0.504487008108702,-0.003652703422596945,0.01361828253419802,-1.4302092653326857,0.3850600282207813
all_4_warm,truncated_error_body_pos,0.06215214465280584,0.06332699410308121,0.0011748494502753712,-1.8902798235496336,0.00018320562938034456,0.0021547261129765743,-3.525419783549289,-0.29453176778954304
all_4_warm,common_error_body_pos,0.061984193133429705,0.06305682673788685,0.0010726336044571405,-1.730495389603839,0.00013923482010457875,0.001997715291371975,-3.269056282827891,-0.21755095948255618
all_4_warm,truncated_error_joint_pos,0.8592772392445405,0.8731159641572568,0.013838724912716316,-1.610507561550571,0.005076123562563076,0.022706685873808502,-2.6811757295420415,-0.5897801950303422
all_4_warm,common_error_joint_pos,0.8577234999862491,0.8703735777554668,0.012650077769217671,-1.474843322984677,0.004827329821367812,0.020578276194181008,-2.423572549713848,-0.5643734118444584
all_4_warm,truncated_error_anchor_pos,0.5765517202998367,0.5028511839446579,-0.07370053635517881,12.78298785004938,-0.10010595240898428,-0.048665187476467774,8.711453629003021,16.739519351849257
all_4_warm,truncated_error_anchor_rot,0.0941323874018242,0.09398486848306219,-0.00014751891876201018,0.15671430719407356,-0.002529197748530018,0.0022604732131585106,-2.4033860316888913,2.630201274437316
all_4_warm,truncated_error_body_rot,0.2781672169131704,0.2838425911359398,0.005675374222769369,-2.0402742946308194,0.0030408299518162236,0.008495055786755175,-3.0840006546058527,-1.0985358996586068
all_4_warm,truncated_error_joint_vel,6.06761643232996,5.894580606094785,-0.173035826235175,2.851792432250523,-0.25907912540998956,-0.0877296112729109,1.452834427064309,4.278533450140763
all_4_warm,truncated_error_anchor_lin_vel,0.3094714774098568,0.28497661480424596,-0.024494862605610845,7.915063065140061,-0.03094039118403863,-0.01836471420530618,5.956598527691847,9.913109396560909
all_4_warm,truncated_error_anchor_ang_vel,0.6750183848692988,0.6397576890676763,-0.0352606958016225,5.223664509293313,-0.049558645726320766,-0.021545257786379026,3.2102624230527295,7.274477292546696
all_4_warm,truncated_error_body_lin_vel,0.39794962292742386,0.37583166394961076,-0.0221179589778131,5.557979629458493,-0.0288385828620632,-0.01570119624809639,3.968686539137456,7.252057010822401
all_4_warm,truncated_error_body_ang_vel,1.6491608948829717,1.599995420357981,-0.04916547452499076,2.981241835016932,-0.07271706522661171,-0.026889010683557472,1.62416539416078,4.424960048827581
